,02_GEMM_006_12M,02_GEMM_006_18M,02_GEMM_006_24M,02_GEMM_006_30M,02_GEMM_006_36M,02_GEMM_006_48M,02_GEMM_010_12M,02_GEMM_010_18M,02_GEMM_010_24M,02_GEMM_010_30M,02_GEMM_013_12M,02_GEMM_013_18M,02_GEMM_013_24M,02_GEMM_019_12M,02_GEMM_019_18M,02_GEMM_019_24M,02_GEMM_019_30M,02_GEMM_019_36M,02_GEMM_019_48M,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_027_12M,02_GEMM_027_18M,02_GEMM_030_12M,02_GEMM_030_18M,02_GEMM_030_24M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_034_12M,02_GEMM_034_18M,02_GEMM_035_12M,02_GEMM_038_12M,02_GEMM_038_18M,02_GEMM_038_24M,02_GEMM_038_30M,02_GEMM_038_36M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_047_12M,02_GEMM_047_18M,02_GEMM_047_24M,02_GEMM_047_30M,02_GEMM_050_12M,02_GEMM_050_18M,02_GEMM_050_24M,02_GEMM_050_30M,02_GEMM_050_36M,02_GEMM_050_48M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_070_12M,02_GEMM_070_18M,02_GEMM_070_24M,02_GEMM_070_30M,02_GEMM_077_18M,02_GEMM_090_12M,02_GEMM_090_18M,02_GEMM_090_24M,02_GEMM_090_30M,02_GEMM_101_12M,02_GEMM_101_18M,02_GEMM_115_12M,02_GEMM_115_18M,02_GEMM_115_24M,02_GEMM_115_30M,02_GEMM_115_36M,02_GEMM_115_48M,02_GEMM_120_12M,02_GEMM_120_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_174_12M,02_GEMM_174_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
virus_comp_2813_cycle_1_6,507849,202228,123256,46,587,140,504170,72480,211627,164,104362,145059,26535,235167,30426,3451,0,2811,3985,453300,76900,191387,82,13716,4028,758,12,0,13,163522,1181368,390184,10635,245186,15773,323237,126801,2186,35249,0,116818,15394,1178612,7768,5187,7198,3159,176939,227550,305772,264592,71884,3584,21040,1347,0,92,148999,736600,107891,1047215,189916,26009,194,1662012,46177,2596,2085,0,0,28691,0,59,6,47534,302,202071,11990,1178,10552,82,336,511,44,649271,10635,44529,20767,46868,575507,188104,2909636,5373229,690735,121053,908132,729556,324358,17983,527006,69775,485985,17869,1243,23746,29,578671,430473,560963,75067
virus_comp_18378_cycle_1_1,1965,0,3472,0,0,0,32658,0,0,0,0,708,4884,421,3692,2315,0,15094,9729,12508,0,790,80,0,0,223,0,0,0,0,0,18477,232,0,19273,32666,0,0,21071,0,463,1487,0,0,1646,5315,3406,0,3685,4683,27623,16690,9924,695,0,0,0,0,0,2713,3523,0,2788,0,1011,21237,2682,0,231,0,0,0,0,0,1561,0,155,3882,4002,6938,0,755,0,4733,0,415,1097,1921,6081,883,0,7739,0,12112,312,2756,34496,0,19431,3746,0,19171,24739,0,9856,0,2739,3498,0,0
virus_comp_2455_cycle_1_11,444,0,467,0,0,0,0,0,0,0,0,0,0,83,0,485,0,0,837,1175,0,172,0,0,0,0,15,0,36,0,203,488,3872,0,435,0,0,0,14585,0,1020,0,0,0,0,5016,0,0,3614,4604,10230,21318,1327,0,0,0,0,0,145,9855,240203,361,0,0,0,60819,0,0,0,0,0,0,73,0,0,0,0,1481,838,1893,0,0,0,0,0,0,4903,275,1838,0,0,0,0,1238,0,287,7150,0,0,0,0,0,166568,363,4465,0,0,0,0,0
virus_comp_103_cycle_1_4,0,0,0,0,0,39176,0,0,0,0,0,0,0,0,181,28899,3073,0,0,0,0,12,8267,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5550,3636,836,0,0,40,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,70,26433,0,0,2028,12655,11786,2991,223,0,198136,0,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_16559_cycle_1_2,0,0,0,0,0,24650,0,0,0,0,0,0,0,0,209,6486,11067,0,0,0,0,13,2064,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,845,536,0,0,72,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,134,6902,1073,2469,43,0,27569,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_16559_cycle_1_3,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,39,5256,1846,0,0,0,0,0,1536,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,256,194,0,0,9,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,2,832,0,0,94,2609,922,655,9,0,8239,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5117_cycle_1_1,0,0,0,0,0,13753,0,0,0,0,0,0,0,8,278,179539,7555,0,0,0,0,0,7140,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,1748,278,0,0,72,0,0,0,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,57,26364,0,0,1602,9242,13429,1856,123,0,164904,0,4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5117_cycle_1_4,0,0,0,0,0,19448,0,0,0,0,0,0,0,6,146,20902,3722,0,0,0,0,0,696,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,273,63,0,0,53,0,0,0,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19605,0,0,106,1509,1707,450,36,0,36547,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_16559_cycle_1_1,0,0,0,0,0,11637,0,0,0,0,0,0,0,0,28,1854,2904,0,0,0,0,0,646,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,398,225,0,0,3,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,657,894,312,979,40,0,12584,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_7129_cycle_1_3,0,0,0,0,0,137348,0,0,0,0,0,0,0,0,226,13405,4064,0,0,0,0,0,1346,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,465,650,0,0,25,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18224,0,0,79,17505,5034,1395,29,0,43039,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_8074_cycle_1_1,0,0,0,0,0,17137,0,0,0,0,0,0,0,0,103,12737,6169,0,0,0,0,0,2288,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259,634,1191,0,0,13,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9067,0,0,108,1939,1133,988,26,0,25812,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_4028_cycle_1_2,0,0,0,0,0,19081,0,0,0,0,0,0,0,0,80,5076,17435,0,0,0,0,0,938,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,199,176,0,0,42,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5302,0,0,0,2725,1573,1479,22,0,97124,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_8200_cycle_1_1,0,0,0,0,0,85407,0,0,0,0,0,0,0,0,153,61365,4743,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,1395,406,0,0,75,0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,70,31598,0,0,2846,45988,59622,1901,147,0,275231,0,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_13180_cycle_1_1,0,0,0,0,0,134570,0,0,0,0,0,0,0,0,885,167154,12560,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087,1871,1149,0,0,0,0,0,0,0,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,91,38342,0,0,1689,15398,24970,2813,99,0,1530712,0,8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_14463_cycle_1_1,0,0,0,0,0,6629,0,0,0,0,0,0,0,0,38,2157,656,0,0,0,0,0,3926,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,166,106,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5638,0,0,52,1270,201,273,0,0,22784,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5117_cycle_1_2,0,0,0,0,0,70856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32382,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16021,5234,1370,0,0,194,0,0,0,0,18642,0,0,0,0,0,0,0,0,0,0,0,0,0,305,142439,0,0,6147,46019,83900,10155,586,0,708134,0,24755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5552_cycle_1_3,0,0,0,0,0,4054,0,0,0,0,0,0,0,0,37,2637,1193,0,0,0,0,0,165,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,150,108,0,0,16,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,21,310,324,750,0,0,13748,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_7129_cycle_1_1,0,0,0,0,0,393,0,0,0,0,0,0,0,0,23,196,204,0,0,0,0,0,203,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,92,22,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,9,177,20,70,4,0,2272,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_99_cycle_1_1,0,0,0,0,0,5631,0,0,0,0,0,0,0,0,62,8841,1306,0,0,0,0,0,827,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,462,125,0,0,17,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,0,0,134,1115,1698,753,0,0,20652,0,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_4028_cycle_1_1,0,0,0,0,0,530,0,0,0,0,0,0,0,0,12,272,1271,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,134,26,35,1,0,391,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_103_cycle_1_3,0,0,0,0,0,3550,0,0,0,0,0,0,0,0,20,7711,886,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,120,45,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,18,169,298,226,0,0,9043,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_15228_cycle_1_1,0,0,0,0,0,931,0,0,0,0,0,0,0,0,3,683,1773,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,14,14,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,304,49,137,0,0,929,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_15228_cycle_1_2,0,0,0,0,0,2980,0,0,0,0,0,0,0,0,48,3251,6435,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,75,40,0,0,12,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,514,151,239,0,0,2761,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_8200_cycle_1_2,0,0,0,0,0,10276,0,0,0,0,0,0,0,0,64,7963,1727,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,586,172,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5806,0,0,628,3194,2899,595,0,0,73223,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1133_cycle_1_5,0,0,0,0,0,524,0,0,0,0,0,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0,83,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,129,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,5267,15445,0,0,0,31
virus_comp_5117_cycle_1_3,0,0,0,0,0,84532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16615,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3801,1979,999,0,0,33,0,0,0,0,8108,0,0,0,0,0,0,0,0,0,0,0,0,0,141,82162,0,0,904,48745,60277,0,0,0,391363,0,7399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_6408_cycle_1_1,0,0,0,0,0,2926,0,0,0,0,0,0,0,0,12,135,544,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,14,3,228,2,0,2076,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1102_cycle_1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2724,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,481,286,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,717,1605,1743,0,0,0,0
virus_comp_1103_cycle_1_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,2976,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,74,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182,0,0,149,454,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,998,826,0,0,0,0,0
virus_comp_1105_cycle_1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,166,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,124,283,0,0,0,0,0,0,476,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,1190,98,0,0,0,0
virus_comp_1133_cycle_1_3,0,0,0,0,0,11338,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,3083,0,0,0,0,0,10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,723,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14383,66153,98996,0,0,0,217
virus_comp_1133_cycle_1_4,0,0,0,0,0,1838,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,419,0,0,0,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,227,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,26074,26853,0,0,0,191
virus_comp_54_cycle_1_2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,24,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,506,833,253,110,0,0,0,0,0,0,26,0,0,0,0,0,0,238,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5552_cycle_1_2,0,0,0,0,0,10974,0,0,0,0,0,0,0,0,90,5502,1666,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,36,209,138,411,6,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edge_1980_3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,56,0,0,401,139,0,0,0,0,360,0,14,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,59,0,0,0,0,0,0,0,0
virus_comp_103_cycle_1_1,0,0,0,0,0,1778,0,0,0,0,0,0,0,0,28,841,319,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,46,49,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,91,69,0,0,0,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
